banchostats_id,users_irc,users_osu,multiplayer_games,date
383,140,15139,578,2016-06-08 02:57:58
384,140,15149,573,2016-06-08 02:56:39
385,138,15111,574,2016-06-08 02:55:21
386,138,15059,566,2016-06-08 02:54:04
387,138,15095,562,2016-06-08 02:52:47
388,138,15061,560,2016-06-08 02:51:29
389,138,15022,560,2016-06-08 02:50:09
390,138,14999,563,2016-06-08 02:48:48
391,139,14982,553,2016-06-08 02:47:30
392,139,14921,541,2016-06-08 02:46:12
393,137,14846,551,2016-06-08 02:44:52
394,137,14827,546,2016-06-08 02:43:33
395,138,14895,542,2016-06-08 02:42:15
396,138,14919,550,2016-06-08 02:40:59
397,138,14978,537,2016-06-08 02:39:44
398,138,14915,536,2016-06-08 02:38:27
399,138,14937,530,2016-06-08 02:37:10
400,137,14906,538,2016-06-08 02:35:53
401,137,14861,542,2016-06-08 02:34:36
402,137,14893,532,2016-06-08 02:33:19
403,136,14887,520,2016-06-08 02:31:59
404,135,14842,516,2016-06-08 02:30:41
405,135,14865,515,2016-06-08 02:29:25
406,133,14874,511,2016-06-08 02:28:09
407,134,14872,514,2016-06-08 02:26:53
408,134,14870,512,2016-06-08 02:25:34
409,134,14843,515,2016-06-08 02:24:16
410,135,14821,517,2016-06-08 02:23:00
411,135,14759,525,2016-06-08 02:21:44
412,135,14771,522,2016-06-08 02:20:29
413,136,14742,520,2016-06-08 02:19:12
414,136,14689,513,2016-06-08 02:17:57
415,135,14711,498,2016-06-08 02:16:43
416,135,14752,495,2016-06-08 02:15:24
417,134,14752,497,2016-06-08 02:14:07
418,136,14750,488,2016-06-08 02:12:50
419,138,14761,488,2016-06-08 02:11:34
420,136,14726,488,2016-06-08 02:10:16
421,137,14722,488,2016-06-08 02:09:02
422,138,14641,496,2016-06-08 02:07:46
423,137,14688,499,2016-06-08 02:06:30
424,136,14739,502,2016-06-08 02:05:15
425,136,14737,501,2016-06-08 02:03:56
426,137,14727,494,2016-06-08 02:02:39
427,136,14718,504,2016-06-08 02:01:23
428,137,14754,503,2016-06-08 02:00:06
429,136,14757,496,2016-06-08 01:58:48
430,134,14789,496,2016-06-08 01:57:31
431,134,14861,499,2016-06-08 01:56:16
432,133,14884,491,2016-06-08 01:55:00
433,133,14859,493,2016-06-08 01:53:43
434,132,14822,503,2016-06-08 01:52:24
435,131,14840,501,2016-06-08 01:51:08
436,129,14787,497,2016-06-08 01:49:51
437,130,14790,491,2016-06-08 01:48:33
438,131,14794,491,2016-06-08 01:47:14
439,131,14809,499,2016-06-08 01:45:57
440,131,14812,511,2016-06-08 01:44:40
441,131,14852,518,2016-06-08 01:43:22
442,132,14846,511,2016-06-08 01:42:05
443,132,14796,503,2016-06-08 01:40:46
444,132,14759,496,2016-06-08 01:39:32
445,133,14775,496,2016-06-08 01:38:17
446,135,14797,509,2016-06-08 01:37:02
447,134,14738,505,2016-06-08 01:35:44
448,135,14720,494,2016-06-08 01:34:26
449,134,14730,495,2016-06-08 01:33:06
450,134,14665,484,2016-06-08 01:31:49
451,135,14646,488,2016-06-08 01:30:32
452,133,14611,490,2016-06-08 01:29:16
453,134,14608,500,2016-06-08 01:27:59
454,133,14611,501,2016-06-08 01:26:43
455,134,14579,501,2016-06-08 01:25:24
456,136,14597,494,2016-06-08 01:24:07
457,136,14537,494,2016-06-08 01:22:50
458,135,14570,486,2016-06-08 01:21:35
459,136,14524,479,2016-06-08 01:20:21
460,137,14508,465,2016-06-08 01:19:06
461,136,14503,470,2016-06-08 01:17:51
462,136,14483,466,2016-06-08 01:16:36
463,136,14472,460,2016-06-08 01:15:20
464,136,14433,469,2016-06-08 01:14:06
465,137,14464,457,2016-06-08 01:12:51
466,138,14445,467,2016-06-08 01:11:35
467,138,14474,468,2016-06-08 01:10:21
468,137,14455,469,2016-06-08 01:09:07
469,135,14524,478,2016-06-08 01:07:54
470,135,14490,479,2016-06-08 01:06:35
471,135,14452,473,2016-06-08 01:05:20
472,135,14504,467,2016-06-08 01:04:03
473,135,14551,461,2016-06-08 01:02:46
474,135,14562,458,2016-06-08 01:01:31
475,137,14531,462,2016-06-08 01:00:13
476,136,14575,461,2016-06-08 00:58:58
477,137,14554,462,2016-06-08 00:57:43
478,139,14593,459,2016-06-08 00:56:27
479,139,14604,461,2016-06-08 00:55:14
480,141,14655,453,2016-06-08 00:53:59
481,140,14634,449,2016-06-08 00:52:43
482,139,14609,450,2016-06-08 00:51:28
483,138,14584,448,2016-06-08 00:50:12
484,138,14616,453,2016-06-08 00:48:57
485,138,14645,437,2016-06-08 00:47:43
486,138,14633,441,2016-06-08 00:46:28
487,138,14631,448,2016-06-08 00:45:12
488,137,14656,448,2016-06-08 00:43:58
489,137,14670,448,2016-06-08 00:42:43
490,136,14678,439,2016-06-08 00:41:28
491,136,14648,442,2016-06-08 00:40:12
492,136,14663,450,2016-06-08 00:38:56
493,136,14638,459,2016-06-08 00:37:40
494,135,14668,461,2016-06-08 00:36:24
495,136,14649,464,2016-06-08 00:35:09
496,137,14634,453,2016-06-08 00:33:55
497,137,14641,464,2016-06-08 00:32:39
498,138,14705,468,2016-06-08 00:31:25
499,137,14685,475,2016-06-08 00:30:09
500,135,14701,482,2016-06-08 00:28:52
